_articleId,tags,geolocation,actorsMentioned,publicationDate,source
52,1,1,1,17/08/2021,"{
    ""name"": ""ViewsMedia"",
    ""headline"": ""Habitantes de Tala inconformes por nuevo basurero; Las autoridades defienden el proyecto."",
    ""url"": ""https://viewsmedia.mx/index.php/2021/08/17/habitantes-de-tala-inconformes-por-nuevo-basurero-las-autoridades-defienden-el-proyecto/"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""ViewsNoticas""
}"
53,1,1,1,18/08/2021,"{
    ""name"": ""Ximena Torres"",
    ""headline"": ""La gesti\u00f3n de la basura en la ZMG es irregular y criminal por la complicidad de las autoridades: Un Salto de Vida"",
    ""url"": "" https://www.zonadocs.mx/2021/08/18/la-gestion-de-la-basura-en-la-zmg-es-irregular-y-criminal-por-la-complicidad-de-las-autoridades-un-salto-de-vida/"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Zona Docs""
}"
54,1,1,1,22/08/2021,"{
    ""name"": ""UdeGTV"",
    ""headline"": ""Tala protesta de nuevo en contra del nuevo vertedero metropolitano"",
    ""url"": ""https://udgtv.com/noticias/tala-protesta-contra-nuevo-vertedero-metropolitano/"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Celia Ni\u00f1o""
}"
55,1,1,1,22/08/21,"{
    ""name"": ""L\u00edder informativo"",
    ""headline"": ""zA"",
    ""url"": ""https://lider919.com/habitantes-de-tala-se-oponen-instalacion-de-vertedero"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Vicente Torres ""
}"
56,1,1,1,22/08/21,"{
    ""name"": ""Mural"",
    ""headline"": ""Emite Laureles 50% de gases por residuos de Jalisco"",
    ""url"": ""https://www.mural.com.mx/emite-laureles-50-de-gases-por-residuos-de-jalisco/gr/ar2244165?md5=43144707f3527189ec8208ef8019d853&ta=0dfdbac11765226904c16cb9ad1b2efe&utm_source=elemento_web&utm_medium=email&utm_campaign=promocion_suscriptor"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": null
}"
57,1,1,1,23/08/21,"{
    ""name"": ""La Cascada"",
    ""headline"": ""Dos luchas contra basureros: que Laureles cierre, y que Tala no abra"",
    ""url"": ""https://www.cascadanoticias.com/noticias/locales/el-salto/dos-luchas-contra-basureros-que-laureles-cierre-y-que-tala-no-abra?fbclid=IwAR3II-T4TydoFxe5bHSpE-RPYeh2Ss9UnfY9Agcd8eOiOu3yB2EBOhMtSi0"",
    ""paywall "": true,
    ""coverageLevel"": ""Local"",
    ""author"": ""Redacci\u00f3n""
}"
58,1,1,1,23/08/21,"{
    ""name"": ""L\u00edder informativo"",
    ""headline"": ""Promesas incumplidas de Caabsa dejan dudas frente al nuevo basurero de Tala: entrevista con Gerardo Bernache"",
    ""url"": ""https://lider919.com/promesas-incumplidas-de-caabsa-dejan-dudas-frente-al-nuevo-basurero-de-tala-entrevista-con-gerardo-bernache"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Jos\u00e9 Toral""
}"
59,1,1,1,19/08/21,"{
    ""name"": ""ZonaDocs"",
    ""headline"": ""Nuevo vertedero en Tala amenaza la vida de sus habitantes"",
    ""url"": ""https://www.zonadocs.mx/2021/08/19/nuevo-vertedero-en-tala-amenaza-la-vida-de-sus-habitantes/?amp=1&__twitter_impression=true "",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Samantha Anaya""
}"
60,1,1,1,17/08/21,"{
    ""name"": ""Antena 7 Tala, Jalisco"",
    ""headline"": ""Aqu\u00ed el Comunicado Oficial de los habitantes del Fccto. Ruise\u00f1ores en contra del Vertedero Metropolitano (Centro Integral de Econom\u00eda Circular) \ud83d\udc47\ud83d\udc47"",
    ""url"": ""https://www.facebook.com/268868479958803/posts/1781697028675933/?sfnsn=scwspmo"",
    ""paywall "": true,
    ""coverageLevel"": ""Local"",
    ""author"": ""Habitantes del Fracc. Los Ruise\u00f1ores""
}"
61,1,1,1,23/08/21,"{
    ""name"": ""Antena 7 Tala, Jalisco"",
    ""headline"": ""Gerardo Ruiz Presidente del Comisariado Ejidal de #Tala en entrevista."",
    ""url"": ""https://www.facebook.com/Antena7TalaJalisco/videos/789869995154670/"",
    ""paywall "": true,
    ""coverageLevel"": ""Local"",
    ""author"": null
}"
62,1,1,1,24/08/21,"{
    ""name"": ""Mural"",
    ""headline"": ""Afectar\u00e1 vertedero de Tala a la fauna"",
    ""url"": ""https://www.mural.com.mx/afectara-vertedero-de-tala-a-la-fauna/gr/ar2245086?md5=4b64a99963741ca4cc048e74130f0f15&ta=0dfdbac11765226904c16cb9ad1b2efe&utm_source=elemento_web&utm_medium=email&utm_campaign=promocion_suscriptor"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Violeta Mel\u00e9ndez""
}"
63,1,1,1,24/08/21,"{
    ""name"": ""L\u00edder informativo"",
    ""headline"": ""Ejidatarios de Tala advierten afectaciones a sus tierras si avanza el nuevo basurero metropolitano"",
    ""url"": ""https://lider919.com/ejidatarios-de-tala-advierten-afectaciones-a-sus-tierras-si-avanza-el-nuevo-basurero-metropolitano"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Jos\u00e9 Toral""
}"
64,1,1,1,25/08/21,"{
    ""name"": ""Mural"",
    ""headline"": ""Llevan al Congreso 6 mil firmas contra vertedero de Tala"",
    ""url"": ""https://www.mural.com.mx/aplicacioneslibre/preacceso/articulo/default.aspx?__rval=1&urlredirect=/llevan-al-congreso-6-mil-firmas-contra-vertedero-de-tala/ar2246558"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Violeta Mel\u00e9ndez""
}"
65,1,1,1,25/08/21,"{
    ""name"": ""L\u00edder informativo"",
    ""headline"": ""Definir\u00e1 Ejido de Tala postura frente al basurero en asamblea este domingo"",
    ""url"": ""https://lider919.com/definira-ejido-de-tala-postura-frente-al-basurero-en-asamblea-este-domingo"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Jos\u00e9 Toral""
}"
